,Year,State,County,Average Number Unemployed,Average Percent Unemployed,Number of Crimes,Total Labor Force,Crimes Per 100 Workers
404,2012,AR,carroll,788.6666667000001,6.325,1547,12478.66667,12.397157812694424
405,2013,AR,carroll,736.1666667000001,5.9916666670000005,1468,12284.33333,11.950180449882012
406,2014,AR,carroll,648.3333332999999,5.183333333,1376,12542.66667,10.97055383996743
407,2015,AR,carroll,576.9166667000001,4.583333333,1452,12657.33333,11.471610663507747
408,2010,AR,garland,3516.5,8.466666667,12347,41562.25,29.707246359376597
409,2011,AR,garland,3660.0,8.758333333,10952,41787.33333,26.20889903050437
410,2012,AR,garland,3254.166667,7.908333333,11216,41203.25,27.22115367113031
411,2013,AR,garland,3090.666667,7.566666667000001,11277,40834.0,27.61669197237596
412,2014,AR,garland,2549.75,6.316666667000001,4856,40339.0,12.037978135303304
413,2015,AR,garland,2180.916667,5.458333333,10750,39949.66667,26.908860313652276
414,2010,AR,prairie,365.25,9.225,239,3967.583333,6.023818025752353
415,2011,AR,prairie,341.1666667,8.658333333,144,3937.083333,3.657529897653299
416,2012,AR,prairie,288.9166667,7.55,284,3825.333333,7.424189613752544
417,2013,AR,prairie,267.5,7.041666667,148,3802.833333,3.8918350356218463
418,2014,AR,prairie,219.5,5.75,245,3812.666667,6.425948591849454
419,2015,AR,prairie,174.5,4.7,207,3727.666667,5.55307162607949
420,2010,AR,pulaski,13809.333330000001,7.3,58061,189321.5833,30.667924379227397
421,2011,AR,pulaski,14198.833330000001,7.458333333,62122,190082.5,32.68159877947733
422,2012,AR,pulaski,12932.0,6.85,61380,188483.6667,32.56515594939877
423,2013,AR,pulaski,12165.83333,6.5,58363,186724.5,31.256209013814466
424,2014,AR,pulaski,10147.5,5.4916666670000005,53453,184548.3333,28.964227985254855
425,2015,AR,pulaski,8493.833333,4.575,51233,186061.0833,27.535580837930123
426,2010,AR,arkansas,2107.916667,18.6,1606,11331.83333,14.172464006757501
427,2011,AR,arkansas,1291.583333,12.175,1515,10588.83333,14.307525227616367
428,2012,AR,arkansas,869.4166667000002,8.758333333,1833,9913.5,18.489937963383266
429,2013,AR,arkansas,704.6666667000001,7.333333333,1632,9588.416667,17.02053693199188
430,2014,AR,arkansas,507.83333330000005,5.375,1549,9465.416667,16.36483690570534
431,2015,AR,arkansas,395.3333333,4.175,1877,9487.166667,19.78462132987423
432,2010,AR,cleburne,892.4166667000002,8.633333333,1664,10336.83333,16.097773340029274
433,2011,AR,cleburne,971.5,9.216666667,1835,10550.75,17.392128521669076
434,2012,AR,cleburne,885.6666667000002,8.533333333,1866,10389.41667,17.960584884309966
435,2013,AR,cleburne,855.9166667000002,8.525,1852,10027.41667,18.469363156522746
436,2014,AR,cleburne,805.4166667000001,8.266666667,1741,9745.75,17.86419721417028
437,2015,AR,cleburne,665.3333332999999,6.933333332999999,1312,9609.666667,13.652918935320239
438,2010,AR,columbia,1049.416667,9.983333333,1461,10507.75,13.90402322095596
439,2011,AR,columbia,1044.416667,10.00833333,1532,10445.75,14.666251824904867
440,2012,AR,columbia,910.1666667000002,9.008333333,1565,10114.83333,15.472326126801342
441,2013,AR,columbia,848.5833332999998,8.766666667,1529,9678.5,15.797902567546624
442,2014,AR,columbia,681.4166667000001,7.15,1085,9538.75,11.374656008386843
443,2015,AR,columbia,622.6666667000001,6.533333333,939,9536.833333,9.84603554673445
444,2010,AR,crawford,2327.25,8.233333333,3511,28322.83333,12.396358652017673
445,2011,AR,crawford,2481.0,8.858333333,3082,28020.41667,10.999122662225567
446,2012,AR,crawford,2198.083333,7.958333333,3563,27610.25,12.904627810324065
447,2013,AR,crawford,2066.833333,7.6333333329999995,3708,27055.83333,13.704992763569775
448,2014,AR,crawford,1602.583333,5.975,3499,26802.58333,13.054711767591396
449,2015,AR,crawford,1394.25,5.2,3646,26854.33333,13.576952200585499
450,2010,AR,faulkner,4245.916667,7.2416666670000005,8005,58710.833329999994,13.634621663442841
451,2011,AR,faulkner,4276.416667,7.191666667000001,8568,59482.0,14.404357620792846
