,Year,Average Total Employment,county,state
5230,2014,17904.33333,Ellis County,KS
5231,2015,17522.16667,Ellis County,KS
5232,2010,13358.75,Geary County,KS
5233,2011,13174,Geary County,KS
5234,2012,12806.91667,Geary County,KS
5235,2013,12663.58333,Geary County,KS
5236,2014,12331.91667,Geary County,KS
5237,2015,12110.16667,Geary County,KS
5238,2010,4201.916667,Grant County,KS
5239,2011,4103.166667,Grant County,KS
5240,2012,3987.5,Grant County,KS
5241,2013,3990.75,Grant County,KS
5242,2014,3935.833333,Grant County,KS
5243,2015,3902.416667,Grant County,KS
5244,2010,1397.75,Kiowa County,KS
5245,2011,1343.916667,Kiowa County,KS
5246,2012,1406.666667,Kiowa County,KS
5247,2013,1422.166667,Kiowa County,KS
5248,2014,1349.5,Kiowa County,KS
5249,2015,1447.75,Kiowa County,KS
5250,2010,1737,Logan County,KS
5251,2011,1773.416667,Logan County,KS
5252,2012,1753.916667,Logan County,KS
5253,2013,1742.083333,Logan County,KS
5254,2014,1733.666667,Logan County,KS
5255,2015,1755.25,Logan County,KS
5256,2010,2567.166667,Meade County,KS
5257,2011,2533.583333,Meade County,KS
5258,2012,2470.083333,Meade County,KS
5259,2013,2350.583333,Meade County,KS
5260,2014,2379.333333,Meade County,KS
5261,2015,2418.416667,Meade County,KS
5262,2010,17111.66667,Miami County,KS
5263,2011,16914.33333,Miami County,KS
5264,2012,16755.5,Miami County,KS
5265,2013,16783.41667,Miami County,KS
5266,2014,16852.75,Miami County,KS
5267,2015,16757,Miami County,KS
5268,2010,8617.583333,Osage County,KS
5269,2011,8568.333333,Osage County,KS
5270,2012,8342.916667,Osage County,KS
5271,2013,8277,Osage County,KS
5272,2014,8137.416667,Osage County,KS
5273,2015,8056.583333,Osage County,KS
5274,2010,5288.833333,Pratt County,KS
5275,2011,5362.25,Pratt County,KS
5276,2012,5435.583333,Pratt County,KS
5277,2013,5438.083333,Pratt County,KS
5278,2014,5498.666667,Pratt County,KS
5279,2015,5290.5,Pratt County,KS
5280,2010,36091.08333,Riley County,KS
5281,2011,35426.91667,Riley County,KS
5282,2012,36246.5,Riley County,KS
5283,2013,36571.33333,Riley County,KS
5284,2014,36569.66667,Riley County,KS
5285,2015,35631.83333,Riley County,KS
5286,2010,2766.166667,Rooks County,KS
5287,2011,2725.833333,Rooks County,KS
