,Year,Average (Monthly) Number Unemployed,county,state
680,2012,288.9166667,Prairie County,AR
681,2013,267.5,Prairie County,AR
682,2014,219.5,Prairie County,AR
683,2015,174.5,Prairie County,AR
684,2010,13809.33333,Pulaski County,AR
685,2011,14198.83333,Pulaski County,AR
686,2012,12932,Pulaski County,AR
687,2013,12165.83333,Pulaski County,AR
688,2014,10147.5,Pulaski County,AR
689,2015,8493.833333,Pulaski County,AR
690,2010,2107.916667,Arkansas County,AR
691,2011,1291.583333,Arkansas County,AR
692,2012,869.4166667,Arkansas County,AR
693,2013,704.6666667,Arkansas County,AR
694,2014,507.8333333,Arkansas County,AR
695,2015,395.3333333,Arkansas County,AR
696,2010,892.4166667,Cleburne County,AR
697,2011,971.5,Cleburne County,AR
698,2012,885.6666667,Cleburne County,AR
699,2013,855.9166667,Cleburne County,AR
700,2014,805.4166667,Cleburne County,AR
701,2015,665.3333333,Cleburne County,AR
702,2010,1049.416667,Columbia County,AR
703,2011,1044.416667,Columbia County,AR
704,2012,910.1666667,Columbia County,AR
705,2013,848.5833333,Columbia County,AR
706,2014,681.4166667,Columbia County,AR
707,2015,622.6666667,Columbia County,AR
708,2010,2327.25,Crawford County,AR
709,2011,2481,Crawford County,AR
710,2012,2198.083333,Crawford County,AR
711,2013,2066.833333,Crawford County,AR
712,2014,1602.583333,Crawford County,AR
713,2015,1394.25,Crawford County,AR
714,2010,4245.916667,Faulkner County,AR
715,2011,4276.416667,Faulkner County,AR
716,2012,3956.583333,Faulkner County,AR
717,2013,3841.833333,Faulkner County,AR
718,2014,3277.25,Faulkner County,AR
719,2015,2792.166667,Faulkner County,AR
720,2010,603.0833333,Franklin County,AR
721,2011,598,Franklin County,AR
722,2012,543.5833333,Franklin County,AR
723,2013,509.9166667,Franklin County,AR
724,2014,412.4166667,Franklin County,AR
725,2015,365.1666667,Franklin County,AR
726,2010,708,Lawrence County,AR
