,Year,county,state,count
579,2010,HAWAII,HI,11557
580,2010,HAYS,TX,4117
581,2010,HAYWOOD,NC,3539
582,2010,HEMPHILL,TX,112
583,2010,HEMPSTEAD,AR,1649
584,2010,HENDERSON,IL,330
585,2010,HENDERSON,NC,4733
586,2010,HENDERSON,TX,5155
587,2010,HENDRICKS,IN,3519
588,2010,HENNEPIN,MN,87195
589,2010,HENRICO,VA,16637
590,2010,HENRY,AL,471
591,2010,HENRY,IA,829
592,2010,HENRY,IL,1838
593,2010,HENRY,IN,3529
594,2010,HENRY,MO,1735
595,2010,HENRY,VA,2440
596,2010,HERTFORD,NC,1313
597,2010,HETTINGER,ND,16
598,2010,HICKORY,MO,269
599,2010,HIDALGO,TX,77601
600,2010,HIGHLAND,VA,31
601,2010,HILL,MT,1172
602,2010,HILL,TX,1583
603,2010,HILLSDALE,MI,1322
604,2010,HINDS,MS,4350
605,2010,HOCKLEY,TX,1377
606,2010,HOKE,NC,1344
607,2010,HOLMES,MS,42
608,2010,HOLT,MO,242
609,2010,HOOD,TX,2557
610,2010,HOPKINS,TX,964
611,2010,HOT SPRING,AR,606
612,2010,HOUGHTON,MI,1287
613,2010,HOUSTON,AL,1679
614,2010,HOUSTON,MN,428
615,2010,HOUSTON,TX,966
616,2010,HOWARD,AR,710
617,2010,HOWARD,IA,356
618,2010,HOWARD,IN,6078
619,2010,HOWARD,MD,14790
620,2010,HOWARD,MO,122
621,2010,HOWARD,TX,3537
622,2010,HOWELL,MO,3146
623,2010,HUBBARD,MN,1155
624,2010,HUDSPETH,TX,109
625,2010,HUMBOLDT,IA,114
626,2010,HUMPHREYS,MS,36
627,2010,HUNT,TX,7102
628,2010,HUNTINGTON,IN,1109
629,2010,HURON,MI,1016
630,2010,HUTCHINSON,TX,1940
631,2010,HYDE,NC,0
632,2010,IDA,IA,128
633,2010,IDAHO,ID,373
634,2010,INDEPENDENCE,AR,3287
635,2010,INGHAM,MI,6498
636,2010,IONIA,MI,2325
637,2010,IOSCO,MI,1210
638,2010,IOWA,IA,326
639,2010,IREDELL,NC,7407
640,2010,IRION,TX,38
641,2010,IRON,MI,477
642,2010,IRON,MO,279
